   0.611669813467E-01  0.465499353001E-01  0.966595238831E-02  0.862698160400E-02  -0.181205564983E-01  -0.684248882071E-01  -0.755610608314E-02  0.588972804257E-02  -0.199674813323E-01                   
   0.589076319996E-01  0.537128202774E-01  0.130523493823E-01  0.348711058124E-02  -0.167410848191E-01  -0.594783923425E-01  -0.437235129150E-02  0.629417223917E-02  -0.406187680088E-01                   
   0.538106232362E-01  0.610132412748E-01  0.143080710050E-01  0.143021723750E-02  -0.146945414675E-01  -0.471384344999E-01  0.123760541287E-02  0.495477721809E-02  -0.518068175195E-01                   
   0.489839595510E-01  0.593082312594E-01  0.127028498316E-01  0.522550498868E-02  -0.139198335770E-01  -0.318270791876E-01  0.316417007337E-02  0.305170749045E-02  -0.550580765752E-01                   
   0.484810552542E-01  0.513419248746E-01  0.100590647222E-01  0.136895663989E-01  -0.142870542793E-01  -0.236202430730E-01  0.509157603101E-03  0.385390455305E-02  -0.525914552791E-01                   
   0.548944685258E-01  0.485652962060E-01  0.971681430644E-02  0.229592366597E-01  -0.170706600085E-01  -0.274969628843E-01  -0.575114112792E-02  0.661977365545E-02  -0.465379258014E-01                   
   0.695997722464E-01  0.521112410665E-01  0.130277559664E-01  0.298428350771E-01  -0.204688929389E-01  -0.364547158675E-01  -0.138826564979E-01  0.845145994202E-02  -0.419703902376E-01                   
   0.915999498956E-01  0.509904225891E-01  0.193020406179E-01  0.308102876424E-01  -0.209003754796E-01  -0.371182033552E-01  -0.188241916563E-01  0.897199809609E-02  -0.380827670652E-01                   
   0.117998498101E+00  0.467327830438E-01  0.305572274197E-01  0.307604017986E-01  -0.148456921316E-01  -0.194228491051E-01  -0.199515112743E-01  0.790566834685E-02  -0.380309989985E-01                   
   0.147429094402E+00  0.439025232759E-01  0.464235572319E-01  0.274402131118E-01  0.150501590654E-02  0.139204583290E-01  -0.192762434924E-01  0.851313063713E-02  -0.394539914715E-01                   
   0.176106593598E+00  0.456498468530E-01  0.617236656897E-01  0.192865044210E-01  0.261865161933E-01  0.433686599653E-01  -0.229484458559E-01  0.131847333008E-01  -0.449861136465E-01                   
   0.197546954251E+00  0.466134674177E-01  0.702033486546E-01  0.715744158758E-02  0.538087082907E-01  0.498624888485E-01  -0.341422558641E-01  0.212947505065E-01  -0.440589741796E-01                   
